Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
9779,DataSet_113,human,DDX17,MHCC97H,EPS8L2,Adult hepatocellular carcinoma,9,39,39,Adult hepatocellular carcinoma,human,APA
9571,DataSet_113,human,DDX17,MHCC97H,DNAJB1,Adult hepatocellular carcinoma,9,171,171,Adult hepatocellular carcinoma,human,APA
10666,DataSet_113,human,DDX17,MHCC97H,STING1,Adult hepatocellular carcinoma,9,63,63,Adult hepatocellular carcinoma,human,APA
9240,DataSet_113,human,DDX17,MHCC97H,AMPD2,Adult hepatocellular carcinoma,9,90,90,Adult hepatocellular carcinoma,human,APA
9835,DataSet_113,human,DDX17,MHCC97H,FMR1,Adult hepatocellular carcinoma,9,149,149,Adult hepatocellular carcinoma,human,APA
10328,DataSet_113,human,DDX17,MHCC97H,PIGG,Adult hepatocellular carcinoma,9,45,32,Adult hepatocellular carcinoma,human,APA
10020,DataSet_113,human,DDX17,MHCC97H,LIG4,Adult hepatocellular carcinoma,8,152,152,Adult hepatocellular carcinoma,human,APA
9345,DataSet_113,human,DDX17,MHCC97H,BCAR1,Adult hepatocellular carcinoma,8,72,56,Adult hepatocellular carcinoma,human,APA
10118,DataSet_113,human,DDX17,MHCC97H,MIF4GD,Adult hepatocellular carcinoma,8,88,72,Adult hepatocellular carcinoma,human,APA
10219,DataSet_113,human,DDX17,MHCC97H,NEDD4L,Adult hepatocellular carcinoma,8,192,192,Adult hepatocellular carcinoma,human,APA
10357,DataSet_113,human,DDX17,MHCC97H,POMGNT2,Adult hepatocellular carcinoma,8,56,56,Adult hepatocellular carcinoma,human,APA
9493,DataSet_113,human,DDX17,MHCC97H,COPA,Adult hepatocellular carcinoma,7,42,42,Adult hepatocellular carcinoma,human,APA
10077,DataSet_113,human,DDX17,MHCC97H,MATR3,Adult hepatocellular carcinoma,7,60,60,Adult hepatocellular carcinoma,human,APA
9979,DataSet_113,human,DDX17,MHCC97H,KANK1,Adult hepatocellular carcinoma,7,126,126,Adult hepatocellular carcinoma,human,APA
9832,DataSet_113,human,DDX17,MHCC97H,FKRP,Adult hepatocellular carcinoma,7,110,4,Adult hepatocellular carcinoma,human,APA
9709,DataSet_113,human,DDX17,MHCC97H,ENSG00000268362,Adult hepatocellular carcinoma,7,0,0,Adult hepatocellular carcinoma,human,APA
10664,DataSet_113,human,DDX17,MHCC97H,STAMBP,Adult hepatocellular carcinoma,7,168,168,Adult hepatocellular carcinoma,human,APA
10724,DataSet_113,human,DDX17,MHCC97H,THUMPD3-AS1,Adult hepatocellular carcinoma,7,0,0,Adult hepatocellular carcinoma,human,APA
9565,DataSet_113,human,DDX17,MHCC97H,DLG1,Adult hepatocellular carcinoma,7,259,259,Adult hepatocellular carcinoma,human,APA
10928,DataSet_113,human,DDX17,MHCC97H,ZNF532,Adult hepatocellular carcinoma,7,105,0,Adult hepatocellular carcinoma,human,APA
9239,DataSet_113,human,DDX17,MHCC97H,AMOTL2,Adult hepatocellular carcinoma,7,58,8,Adult hepatocellular carcinoma,human,APA
9642,DataSet_113,human,DDX17,MHCC97H,ENSG00000228144,Adult hepatocellular carcinoma,6,6,6,Adult hepatocellular carcinoma,human,APA
10206,DataSet_113,human,DDX17,MHCC97H,NAT9,Adult hepatocellular carcinoma,6,54,48,Adult hepatocellular carcinoma,human,APA
10382,DataSet_113,human,DDX17,MHCC97H,PRKAG2,Adult hepatocellular carcinoma,6,60,60,Adult hepatocellular carcinoma,human,APA
10334,DataSet_113,human,DDX17,MHCC97H,PKN1,Adult hepatocellular carcinoma,6,24,12,Adult hepatocellular carcinoma,human,APA
10321,DataSet_113,human,DDX17,MHCC97H,PHF6,Adult hepatocellular carcinoma,6,18,18,Adult hepatocellular carcinoma,human,APA
9626,DataSet_113,human,DDX17,MHCC97H,ENSA,Adult hepatocellular carcinoma,6,60,24,Adult hepatocellular carcinoma,human,APA
10230,DataSet_113,human,DDX17,MHCC97H,NGLY1,Adult hepatocellular carcinoma,6,42,42,Adult hepatocellular carcinoma,human,APA
9251,DataSet_113,human,DDX17,MHCC97H,ANO6,Adult hepatocellular carcinoma,6,36,36,Adult hepatocellular carcinoma,human,APA
9570,DataSet_113,human,DDX17,MHCC97H,DNAJA4,Adult hepatocellular carcinoma,6,24,24,Adult hepatocellular carcinoma,human,APA
9781,DataSet_113,human,DDX17,MHCC97H,ERCC3,Adult hepatocellular carcinoma,6,18,17,Adult hepatocellular carcinoma,human,APA
9397,DataSet_113,human,DDX17,MHCC97H,CASK,Adult hepatocellular carcinoma,6,96,96,Adult hepatocellular carcinoma,human,APA
9550,DataSet_113,human,DDX17,MHCC97H,DEF8,Adult hepatocellular carcinoma,6,72,27,Adult hepatocellular carcinoma,human,APA
9712,DataSet_113,human,DDX17,MHCC97H,ENSG00000269915,Adult hepatocellular carcinoma,6,0,0,Adult hepatocellular carcinoma,human,APA
10201,DataSet_113,human,DDX17,MHCC97H,NABP1,Adult hepatocellular carcinoma,6,60,60,Adult hepatocellular carcinoma,human,APA
10143,DataSet_113,human,DDX17,MHCC97H,MOK,Adult hepatocellular carcinoma,6,64,50,Adult hepatocellular carcinoma,human,APA
9398,DataSet_113,human,DDX17,MHCC97H,CASK-AS1,Adult hepatocellular carcinoma,6,0,0,Adult hepatocellular carcinoma,human,APA
9934,DataSet_113,human,DDX17,MHCC97H,HNRNPUL1,Adult hepatocellular carcinoma,6,48,48,Adult hepatocellular carcinoma,human,APA
9265,DataSet_113,human,DDX17,MHCC97H,AREL1,Adult hepatocellular carcinoma,6,30,24,Adult hepatocellular carcinoma,human,APA
10734,DataSet_113,human,DDX17,MHCC97H,TMBIM4,Adult hepatocellular carcinoma,6,30,30,Adult hepatocellular carcinoma,human,APA
9316,DataSet_113,human,DDX17,MHCC97H,ATP6AP2,Adult hepatocellular carcinoma,6,90,90,Adult hepatocellular carcinoma,human,APA
10864,DataSet_113,human,DDX17,MHCC97H,WASHC3,Adult hepatocellular carcinoma,6,18,18,Adult hepatocellular carcinoma,human,APA
10377,DataSet_113,human,DDX17,MHCC97H,PRCP,Adult hepatocellular carcinoma,6,102,102,Adult hepatocellular carcinoma,human,APA
10195,DataSet_113,human,DDX17,MHCC97H,MYO19,Adult hepatocellular carcinoma,5,2,2,Adult hepatocellular carcinoma,human,APA
10350,DataSet_113,human,DDX17,MHCC97H,PNKD,Adult hepatocellular carcinoma,5,45,45,Adult hepatocellular carcinoma,human,APA
9409,DataSet_113,human,DDX17,MHCC97H,CCDC14,Adult hepatocellular carcinoma,5,35,30,Adult hepatocellular carcinoma,human,APA
10417,DataSet_113,human,DDX17,MHCC97H,RAB3IP,Adult hepatocellular carcinoma,5,25,25,Adult hepatocellular carcinoma,human,APA
10456,DataSet_113,human,DDX17,MHCC97H,RHNO1,Adult hepatocellular carcinoma,5,29,15,Adult hepatocellular carcinoma,human,APA
10026,DataSet_113,human,DDX17,MHCC97H,LINC00836,Adult hepatocellular carcinoma,5,0,0,Adult hepatocellular carcinoma,human,APA
10573,DataSet_113,human,DDX17,MHCC97H,SLC1A3,Adult hepatocellular carcinoma,5,83,33,Adult hepatocellular carcinoma,human,APA
10577,DataSet_113,human,DDX17,MHCC97H,SLC25A26,Adult hepatocellular carcinoma,5,40,40,Adult hepatocellular carcinoma,human,APA
10594,DataSet_113,human,DDX17,MHCC97H,SLC50A1,Adult hepatocellular carcinoma,5,25,25,Adult hepatocellular carcinoma,human,APA
10595,DataSet_113,human,DDX17,MHCC97H,SLC52A2,Adult hepatocellular carcinoma,5,100,100,Adult hepatocellular carcinoma,human,APA
10640,DataSet_113,human,DDX17,MHCC97H,SPECC1,Adult hepatocellular carcinoma,5,116,11,Adult hepatocellular carcinoma,human,APA
10665,DataSet_113,human,DDX17,MHCC97H,STAU2,Adult hepatocellular carcinoma,5,18,17,Adult hepatocellular carcinoma,human,APA
10695,DataSet_113,human,DDX17,MHCC97H,TASOR,Adult hepatocellular carcinoma,5,20,20,Adult hepatocellular carcinoma,human,APA
10723,DataSet_113,human,DDX17,MHCC97H,THRB,Adult hepatocellular carcinoma,5,50,50,Adult hepatocellular carcinoma,human,APA
9223,DataSet_113,human,DDX17,MHCC97H,AFDN,Adult hepatocellular carcinoma,5,45,45,Adult hepatocellular carcinoma,human,APA
10843,DataSet_113,human,DDX17,MHCC97H,USP19,Adult hepatocellular carcinoma,5,20,20,Adult hepatocellular carcinoma,human,APA
10038,DataSet_113,human,DDX17,MHCC97H,LRIG1,Adult hepatocellular carcinoma,5,0,0,Adult hepatocellular carcinoma,human,APA
10007,DataSet_113,human,DDX17,MHCC97H,KMT2C,Adult hepatocellular carcinoma,5,65,50,Adult hepatocellular carcinoma,human,APA
9981,DataSet_113,human,DDX17,MHCC97H,KAT6B,Adult hepatocellular carcinoma,5,100,0,Adult hepatocellular carcinoma,human,APA
9618,DataSet_113,human,DDX17,MHCC97H,ELOVL1,Adult hepatocellular carcinoma,5,15,15,Adult hepatocellular carcinoma,human,APA
9721,DataSet_113,human,DDX17,MHCC97H,ENSG00000272851,Adult hepatocellular carcinoma,5,0,0,Adult hepatocellular carcinoma,human,APA
9869,DataSet_113,human,DDX17,MHCC97H,GDAP1,Adult hepatocellular carcinoma,5,85,85,Adult hepatocellular carcinoma,human,APA
9486,DataSet_113,human,DDX17,MHCC97H,CMC1,Adult hepatocellular carcinoma,5,10,10,Adult hepatocellular carcinoma,human,APA
9423,DataSet_113,human,DDX17,MHCC97H,CCNYL1,Adult hepatocellular carcinoma,5,15,15,Adult hepatocellular carcinoma,human,APA
9543,DataSet_113,human,DDX17,MHCC97H,DDHD1,Adult hepatocellular carcinoma,5,35,30,Adult hepatocellular carcinoma,human,APA
9269,DataSet_113,human,DDX17,MHCC97H,ARHGAP19,Adult hepatocellular carcinoma,4,12,12,Adult hepatocellular carcinoma,human,APA
9548,DataSet_113,human,DDX17,MHCC97H,DECR2,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,APA
9685,DataSet_113,human,DDX17,MHCC97H,ENSG00000258864,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,APA
9353,DataSet_113,human,DDX17,MHCC97H,BIRC2,Adult hepatocellular carcinoma,4,20,16,Adult hepatocellular carcinoma,human,APA
9551,DataSet_113,human,DDX17,MHCC97H,DENND3,Adult hepatocellular carcinoma,4,25,3,Adult hepatocellular carcinoma,human,APA
9228,DataSet_113,human,DDX17,MHCC97H,AIMP1,Adult hepatocellular carcinoma,4,39,39,Adult hepatocellular carcinoma,human,APA
9523,DataSet_113,human,DDX17,MHCC97H,CTSC,Adult hepatocellular carcinoma,4,24,24,Adult hepatocellular carcinoma,human,APA
9522,DataSet_113,human,DDX17,MHCC97H,CTNS,Adult hepatocellular carcinoma,4,20,20,Adult hepatocellular carcinoma,human,APA
9471,DataSet_113,human,DDX17,MHCC97H,CIDEB,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,APA
9443,DataSet_113,human,DDX17,MHCC97H,CEMIP2,Adult hepatocellular carcinoma,4,12,12,Adult hepatocellular carcinoma,human,APA
9429,DataSet_113,human,DDX17,MHCC97H,CDC34,Adult hepatocellular carcinoma,4,16,16,Adult hepatocellular carcinoma,human,APA
9693,DataSet_113,human,DDX17,MHCC97H,ENSG00000260269,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,APA
9197,DataSet_113,human,DDX17,MHCC97H,ABCF3,Adult hepatocellular carcinoma,4,8,8,Adult hepatocellular carcinoma,human,APA
9221,DataSet_113,human,DDX17,MHCC97H,ADIRF-AS1,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,APA
9338,DataSet_113,human,DDX17,MHCC97H,BARD1,Adult hepatocellular carcinoma,4,24,18,Adult hepatocellular carcinoma,human,APA
9725,DataSet_113,human,DDX17,MHCC97H,ENSG00000274177,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,APA
9247,DataSet_113,human,DDX17,MHCC97H,ANKRD13D,Adult hepatocellular carcinoma,4,8,8,Adult hepatocellular carcinoma,human,APA
9261,DataSet_113,human,DDX17,MHCC97H,APPL2,Adult hepatocellular carcinoma,4,18,8,Adult hepatocellular carcinoma,human,APA
9742,DataSet_113,human,DDX17,MHCC97H,ENSG00000284057,Adult hepatocellular carcinoma,4,4,4,Adult hepatocellular carcinoma,human,APA
9322,DataSet_113,human,DDX17,MHCC97H,ATRIP,Adult hepatocellular carcinoma,4,0,0,Adult hepatocellular carcinoma,human,APA
10777,DataSet_113,human,DDX17,MHCC97H,TPP1,Adult hepatocellular carcinoma,19,171,171,Adult hepatocellular carcinoma,human,APA
9978,DataSet_113,human,DDX17,MHCC97H,JPX,Adult hepatocellular carcinoma,16,0,0,Adult hepatocellular carcinoma,human,APA
9850,DataSet_113,human,DDX17,MHCC97H,FTX,Adult hepatocellular carcinoma,16,0,0,Adult hepatocellular carcinoma,human,APA
9342,DataSet_113,human,DDX17,MHCC97H,BBS2,Adult hepatocellular carcinoma,15,210,210,Adult hepatocellular carcinoma,human,APA
9774,DataSet_113,human,DDX17,MHCC97H,ENSG00000288725,Adult hepatocellular carcinoma,15,15,15,Adult hepatocellular carcinoma,human,APA
9482,DataSet_113,human,DDX17,MHCC97H,CLN3,Adult hepatocellular carcinoma,12,161,143,Adult hepatocellular carcinoma,human,APA
9569,DataSet_113,human,DDX17,MHCC97H,DMPK,Adult hepatocellular carcinoma,12,84,66,Adult hepatocellular carcinoma,human,APA
10041,DataSet_113,human,DDX17,MHCC97H,LRPPRC,Adult hepatocellular carcinoma,12,144,144,Adult hepatocellular carcinoma,human,APA
9699,DataSet_113,human,DDX17,MHCC97H,ENSG00000261832,Adult hepatocellular carcinoma,12,53,55,Adult hepatocellular carcinoma,human,APA
10358,DataSet_113,human,DDX17,MHCC97H,POMT2,Adult hepatocellular carcinoma,11,88,77,Adult hepatocellular carcinoma,human,APA
10618,DataSet_113,human,DDX17,MHCC97H,SNHG1,Adult hepatocellular carcinoma,11,0,0,Adult hepatocellular carcinoma,human,APA
9246,DataSet_113,human,DDX17,MHCC97H,ANKRD11,Adult hepatocellular carcinoma,10,77,39,Adult hepatocellular carcinoma,human,APA
