Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
224351,DataSet_33,human,ADAR,ZR-75-1,LCOR,Invasive breast carcinoma of no special type,9,117,117,Invasive breast carcinoma of no special type,human,APA
217799,DataSet_32,human,ADAR,ZR-75-1,HEXA,Invasive breast carcinoma of no special type,8,80,56,Invasive breast carcinoma of no special type,human,APA
214111,DataSet_31,human,ADAR,ZR-75-1,AP5Z1,Invasive breast carcinoma of no special type,8,24,24,Invasive breast carcinoma of no special type,human,APA
217912,DataSet_32,human,ADAR,ZR-75-1,MTHFD1,Invasive breast carcinoma of no special type,8,8,8,Invasive breast carcinoma of no special type,human,APA
218128,DataSet_32,human,ADAR,ZR-75-1,SH3YL1,Invasive breast carcinoma of no special type,8,56,56,Invasive breast carcinoma of no special type,human,APA
217671,DataSet_32,human,ADAR,ZR-75-1,ENSG00000260729,Invasive breast carcinoma of no special type,8,8,0,Invasive breast carcinoma of no special type,human,APA
217673,DataSet_32,human,ADAR,ZR-75-1,ENSG00000261460,Invasive breast carcinoma of no special type,8,0,0,Invasive breast carcinoma of no special type,human,APA
218178,DataSet_32,human,ADAR,ZR-75-1,SPTLC1,Invasive breast carcinoma of no special type,7,14,14,Invasive breast carcinoma of no special type,human,APA
214745,DataSet_31,human,ADAR,ZR-75-1,TK2,Invasive breast carcinoma of no special type,7,161,161,Invasive breast carcinoma of no special type,human,APA
218185,DataSet_32,human,ADAR,ZR-75-1,STAMBP,Invasive breast carcinoma of no special type,7,168,168,Invasive breast carcinoma of no special type,human,APA
224263,DataSet_33,human,ADAR,ZR-75-1,ENSG00000271793,Invasive breast carcinoma of no special type,7,0,0,Invasive breast carcinoma of no special type,human,APA
214292,DataSet_31,human,ADAR,ZR-75-1,ENSG00000260851,Invasive breast carcinoma of no special type,7,0,0,Invasive breast carcinoma of no special type,human,APA
224518,DataSet_33,human,ADAR,ZR-75-1,SNHG5,Invasive breast carcinoma of no special type,7,0,0,Invasive breast carcinoma of no special type,human,APA
218104,DataSet_32,human,ADAR,ZR-75-1,RUFY3,Invasive breast carcinoma of no special type,6,12,12,Invasive breast carcinoma of no special type,human,APA
214537,DataSet_31,human,ADAR,ZR-75-1,NKIRAS1,Invasive breast carcinoma of no special type,6,54,54,Invasive breast carcinoma of no special type,human,APA
214450,DataSet_31,human,ADAR,ZR-75-1,LINC00467,Invasive breast carcinoma of no special type,6,0,0,Invasive breast carcinoma of no special type,human,APA
217796,DataSet_32,human,ADAR,ZR-75-1,HECTD1,Invasive breast carcinoma of no special type,6,36,36,Invasive breast carcinoma of no special type,human,APA
224156,DataSet_33,human,ADAR,ZR-75-1,ARHGAP17,Invasive breast carcinoma of no special type,6,18,18,Invasive breast carcinoma of no special type,human,APA
217714,DataSet_32,human,ADAR,ZR-75-1,ENSG00000289025,Invasive breast carcinoma of no special type,6,6,6,Invasive breast carcinoma of no special type,human,APA
224230,DataSet_33,human,ADAR,ZR-75-1,DPH5,Invasive breast carcinoma of no special type,6,24,24,Invasive breast carcinoma of no special type,human,APA
214155,DataSet_31,human,ADAR,ZR-75-1,C6orf136,Invasive breast carcinoma of no special type,6,33,43,Invasive breast carcinoma of no special type,human,APA
214335,DataSet_31,human,ADAR,ZR-75-1,ETFRF1,Invasive breast carcinoma of no special type,6,41,34,Invasive breast carcinoma of no special type,human,APA
224399,DataSet_33,human,ADAR,ZR-75-1,MYEF2,Invasive breast carcinoma of no special type,6,36,30,Invasive breast carcinoma of no special type,human,APA
217870,DataSet_32,human,ADAR,ZR-75-1,MAPK6,Invasive breast carcinoma of no special type,6,0,0,Invasive breast carcinoma of no special type,human,APA
214190,DataSet_31,human,ADAR,ZR-75-1,CHRM3,Invasive breast carcinoma of no special type,6,35,25,Invasive breast carcinoma of no special type,human,APA
214261,DataSet_31,human,ADAR,ZR-75-1,ELOVL2-AS1,Invasive breast carcinoma of no special type,6,0,0,Invasive breast carcinoma of no special type,human,APA
214447,DataSet_31,human,ADAR,ZR-75-1,LIAS,Invasive breast carcinoma of no special type,5,35,30,Invasive breast carcinoma of no special type,human,APA
214596,DataSet_31,human,ADAR,ZR-75-1,PIGV,Invasive breast carcinoma of no special type,5,85,85,Invasive breast carcinoma of no special type,human,APA
217873,DataSet_32,human,ADAR,ZR-75-1,MAX,Invasive breast carcinoma of no special type,5,30,23,Invasive breast carcinoma of no special type,human,APA
217499,DataSet_32,human,ADAR,ZR-75-1,CC2D1A,Invasive breast carcinoma of no special type,5,20,20,Invasive breast carcinoma of no special type,human,APA
217914,DataSet_32,human,ADAR,ZR-75-1,MTM1,Invasive breast carcinoma of no special type,5,60,60,Invasive breast carcinoma of no special type,human,APA
214562,DataSet_31,human,ADAR,ZR-75-1,OGFOD2,Invasive breast carcinoma of no special type,5,50,8,Invasive breast carcinoma of no special type,human,APA
214578,DataSet_31,human,ADAR,ZR-75-1,PDLIM5,Invasive breast carcinoma of no special type,5,30,30,Invasive breast carcinoma of no special type,human,APA
214086,DataSet_31,human,ADAR,ZR-75-1,ABCB9,Invasive breast carcinoma of no special type,5,0,0,Invasive breast carcinoma of no special type,human,APA
217814,DataSet_32,human,ADAR,ZR-75-1,IL15RA,Invasive breast carcinoma of no special type,5,35,30,Invasive breast carcinoma of no special type,human,APA
214634,DataSet_31,human,ADAR,ZR-75-1,RABAC1,Invasive breast carcinoma of no special type,5,25,25,Invasive breast carcinoma of no special type,human,APA
214089,DataSet_31,human,ADAR,ZR-75-1,ACER3,Invasive breast carcinoma of no special type,5,25,25,Invasive breast carcinoma of no special type,human,APA
214674,DataSet_31,human,ADAR,ZR-75-1,SCARB2,Invasive breast carcinoma of no special type,5,0,0,Invasive breast carcinoma of no special type,human,APA
217752,DataSet_32,human,ADAR,ZR-75-1,FXR1,Invasive breast carcinoma of no special type,5,35,30,Invasive breast carcinoma of no special type,human,APA
214781,DataSet_31,human,ADAR,ZR-75-1,TRNT1,Invasive breast carcinoma of no special type,5,15,15,Invasive breast carcinoma of no special type,human,APA
214836,DataSet_31,human,ADAR,ZR-75-1,ZFAND1,Invasive breast carcinoma of no special type,5,30,25,Invasive breast carcinoma of no special type,human,APA
217732,DataSet_32,human,ADAR,ZR-75-1,FAM219B,Invasive breast carcinoma of no special type,5,25,20,Invasive breast carcinoma of no special type,human,APA
217376,DataSet_32,human,ADAR,ZR-75-1,A1BG-AS1,Invasive breast carcinoma of no special type,5,0,0,Invasive breast carcinoma of no special type,human,APA
217396,DataSet_32,human,ADAR,ZR-75-1,AFDN,Invasive breast carcinoma of no special type,5,45,45,Invasive breast carcinoma of no special type,human,APA
217399,DataSet_32,human,ADAR,ZR-75-1,AGK,Invasive breast carcinoma of no special type,5,30,30,Invasive breast carcinoma of no special type,human,APA
217446,DataSet_32,human,ADAR,ZR-75-1,ATE1,Invasive breast carcinoma of no special type,5,130,130,Invasive breast carcinoma of no special type,human,APA
217492,DataSet_32,human,ADAR,ZR-75-1,CASK,Invasive breast carcinoma of no special type,5,80,80,Invasive breast carcinoma of no special type,human,APA
217493,DataSet_32,human,ADAR,ZR-75-1,CASK-AS1,Invasive breast carcinoma of no special type,5,0,0,Invasive breast carcinoma of no special type,human,APA
214729,DataSet_31,human,ADAR,ZR-75-1,TCF4,Invasive breast carcinoma of no special type,5,0,0,Invasive breast carcinoma of no special type,human,APA
217517,DataSet_32,human,ADAR,ZR-75-1,CCNJL,Invasive breast carcinoma of no special type,5,15,15,Invasive breast carcinoma of no special type,human,APA
214401,DataSet_31,human,ADAR,ZR-75-1,HERPUD1,Invasive breast carcinoma of no special type,5,30,30,Invasive breast carcinoma of no special type,human,APA
214364,DataSet_31,human,ADAR,ZR-75-1,FOXP1,Invasive breast carcinoma of no special type,5,125,120,Invasive breast carcinoma of no special type,human,APA
224551,DataSet_33,human,ADAR,ZR-75-1,TIMM23B-AGAP6,Invasive breast carcinoma of no special type,5,0,0,Invasive breast carcinoma of no special type,human,APA
224545,DataSet_33,human,ADAR,ZR-75-1,TBL1X,Invasive breast carcinoma of no special type,5,35,35,Invasive breast carcinoma of no special type,human,APA
224534,DataSet_33,human,ADAR,ZR-75-1,SUCLA2,Invasive breast carcinoma of no special type,5,30,30,Invasive breast carcinoma of no special type,human,APA
214134,DataSet_31,human,ADAR,ZR-75-1,ATP7B,Invasive breast carcinoma of no special type,5,45,45,Invasive breast carcinoma of no special type,human,APA
214137,DataSet_31,human,ADAR,ZR-75-1,B3GALNT1,Invasive breast carcinoma of no special type,5,175,195,Invasive breast carcinoma of no special type,human,APA
224405,DataSet_33,human,ADAR,ZR-75-1,NARF,Invasive breast carcinoma of no special type,5,25,20,Invasive breast carcinoma of no special type,human,APA
224226,DataSet_33,human,ADAR,ZR-75-1,DENND5A,Invasive breast carcinoma of no special type,5,35,35,Invasive breast carcinoma of no special type,human,APA
224145,DataSet_33,human,ADAR,ZR-75-1,AGAP6,Invasive breast carcinoma of no special type,5,10,0,Invasive breast carcinoma of no special type,human,APA
214256,DataSet_31,human,ADAR,ZR-75-1,EEF1D,Invasive breast carcinoma of no special type,5,107,0,Invasive breast carcinoma of no special type,human,APA
218354,DataSet_32,human,ADAR,ZR-75-1,ZNF706,Invasive breast carcinoma of no special type,5,5,5,Invasive breast carcinoma of no special type,human,APA
214317,DataSet_31,human,ADAR,ZR-75-1,ENSG00000285505,Invasive breast carcinoma of no special type,5,0,0,Invasive breast carcinoma of no special type,human,APA
214321,DataSet_31,human,ADAR,ZR-75-1,ENSG00000285708,Invasive breast carcinoma of no special type,5,5,5,Invasive breast carcinoma of no special type,human,APA
214282,DataSet_31,human,ADAR,ZR-75-1,ENSG00000256028,Invasive breast carcinoma of no special type,5,0,0,Invasive breast carcinoma of no special type,human,APA
218199,DataSet_32,human,ADAR,ZR-75-1,SZT2,Invasive breast carcinoma of no special type,5,10,10,Invasive breast carcinoma of no special type,human,APA
218048,DataSet_32,human,ADAR,ZR-75-1,PTPDC1,Invasive breast carcinoma of no special type,4,16,16,Invasive breast carcinoma of no special type,human,APA
218220,DataSet_32,human,ADAR,ZR-75-1,THTPA,Invasive breast carcinoma of no special type,4,24,24,Invasive breast carcinoma of no special type,human,APA
224369,DataSet_33,human,ADAR,ZR-75-1,MAPK6,Invasive breast carcinoma of no special type,4,0,0,Invasive breast carcinoma of no special type,human,APA
224383,DataSet_33,human,ADAR,ZR-75-1,METTL8,Invasive breast carcinoma of no special type,4,12,12,Invasive breast carcinoma of no special type,human,APA
217746,DataSet_32,human,ADAR,ZR-75-1,FKBP11,Invasive breast carcinoma of no special type,4,8,8,Invasive breast carcinoma of no special type,human,APA
217734,DataSet_32,human,ADAR,ZR-75-1,FAM98C,Invasive breast carcinoma of no special type,4,12,12,Invasive breast carcinoma of no special type,human,APA
218256,DataSet_32,human,ADAR,ZR-75-1,TRIM3,Invasive breast carcinoma of no special type,4,16,12,Invasive breast carcinoma of no special type,human,APA
217733,DataSet_32,human,ADAR,ZR-75-1,FAM47E-STBD1,Invasive breast carcinoma of no special type,4,8,8,Invasive breast carcinoma of no special type,human,APA
224407,DataSet_33,human,ADAR,ZR-75-1,NCALD,Invasive breast carcinoma of no special type,4,96,0,Invasive breast carcinoma of no special type,human,APA
217719,DataSet_32,human,ADAR,ZR-75-1,ERGIC1,Invasive breast carcinoma of no special type,4,16,16,Invasive breast carcinoma of no special type,human,APA
224485,DataSet_33,human,ADAR,ZR-75-1,RNASEH2C,Invasive breast carcinoma of no special type,4,0,0,Invasive breast carcinoma of no special type,human,APA
224492,DataSet_33,human,ADAR,ZR-75-1,RPP38,Invasive breast carcinoma of no special type,4,24,16,Invasive breast carcinoma of no special type,human,APA
218135,DataSet_32,human,ADAR,ZR-75-1,SLBP,Invasive breast carcinoma of no special type,4,20,20,Invasive breast carcinoma of no special type,human,APA
218025,DataSet_32,human,ADAR,ZR-75-1,PPP1R9A,Invasive breast carcinoma of no special type,4,24,24,Invasive breast carcinoma of no special type,human,APA
217688,DataSet_32,human,ADAR,ZR-75-1,ENSG00000272822,Invasive breast carcinoma of no special type,4,4,4,Invasive breast carcinoma of no special type,human,APA
217676,DataSet_32,human,ADAR,ZR-75-1,ENSG00000265303,Invasive breast carcinoma of no special type,4,4,4,Invasive breast carcinoma of no special type,human,APA
218157,DataSet_32,human,ADAR,ZR-75-1,SMG8,Invasive breast carcinoma of no special type,4,12,12,Invasive breast carcinoma of no special type,human,APA
218200,DataSet_32,human,ADAR,ZR-75-1,TAF1,Invasive breast carcinoma of no special type,4,20,20,Invasive breast carcinoma of no special type,human,APA
217631,DataSet_32,human,ADAR,ZR-75-1,EIF4G3,Invasive breast carcinoma of no special type,4,40,40,Invasive breast carcinoma of no special type,human,APA
217622,DataSet_32,human,ADAR,ZR-75-1,DYRK4,Invasive breast carcinoma of no special type,4,12,12,Invasive breast carcinoma of no special type,human,APA
217547,DataSet_32,human,ADAR,ZR-75-1,CLP1,Invasive breast carcinoma of no special type,4,24,24,Invasive breast carcinoma of no special type,human,APA
224553,DataSet_33,human,ADAR,ZR-75-1,TIPARP,Invasive breast carcinoma of no special type,4,25,15,Invasive breast carcinoma of no special type,human,APA
224574,DataSet_33,human,ADAR,ZR-75-1,TSC1,Invasive breast carcinoma of no special type,4,44,44,Invasive breast carcinoma of no special type,human,APA
224279,DataSet_33,human,ADAR,ZR-75-1,ENSG00000289025,Invasive breast carcinoma of no special type,4,4,4,Invasive breast carcinoma of no special type,human,APA
218115,DataSet_32,human,ADAR,ZR-75-1,SEC22C,Invasive breast carcinoma of no special type,4,12,12,Invasive breast carcinoma of no special type,human,APA
217773,DataSet_32,human,ADAR,ZR-75-1,GOLGA2,Invasive breast carcinoma of no special type,4,32,32,Invasive breast carcinoma of no special type,human,APA
218279,DataSet_32,human,ADAR,ZR-75-1,UCK2,Invasive breast carcinoma of no special type,4,16,16,Invasive breast carcinoma of no special type,human,APA
218302,DataSet_32,human,ADAR,ZR-75-1,WIPI2,Invasive breast carcinoma of no special type,4,20,20,Invasive breast carcinoma of no special type,human,APA
218001,DataSet_32,human,ADAR,ZR-75-1,PLEKHB2,Invasive breast carcinoma of no special type,4,36,36,Invasive breast carcinoma of no special type,human,APA
217920,DataSet_32,human,ADAR,ZR-75-1,MYADM,Invasive breast carcinoma of no special type,4,40,20,Invasive breast carcinoma of no special type,human,APA
218055,DataSet_32,human,ADAR,ZR-75-1,PXN,Invasive breast carcinoma of no special type,4,0,0,Invasive breast carcinoma of no special type,human,APA
218315,DataSet_32,human,ADAR,ZR-75-1,ZFHX2-AS1,Invasive breast carcinoma of no special type,4,0,0,Invasive breast carcinoma of no special type,human,APA
218322,DataSet_32,human,ADAR,ZR-75-1,ZNF211,Invasive breast carcinoma of no special type,4,28,28,Invasive breast carcinoma of no special type,human,APA
217893,DataSet_32,human,ADAR,ZR-75-1,MIR3658,Invasive breast carcinoma of no special type,4,0,0,Invasive breast carcinoma of no special type,human,APA
37,DataSet_1,human,DDX54,MCF7,CSDE1,Invasive breast carcinoma of no special type,8,208,208,Invasive breast carcinoma of no special type,human,APA
157,DataSet_1,human,DDX54,MCF7,SRSF11,Invasive breast carcinoma of no special type,8,32,32,Invasive breast carcinoma of no special type,human,APA
1699,DataSet_107,human,DDX54,MCF7,SRSF11,Invasive breast carcinoma of no special type,8,32,32,Invasive breast carcinoma of no special type,human,APA
1433,DataSet_107,human,DDX54,MCF7,ACER3,Invasive breast carcinoma of no special type,7,35,35,Invasive breast carcinoma of no special type,human,APA
1625,DataSet_107,human,DDX54,MCF7,PCID2,Invasive breast carcinoma of no special type,6,0,0,Invasive breast carcinoma of no special type,human,APA
1636,DataSet_107,human,DDX54,MCF7,PPIL2,Invasive breast carcinoma of no special type,6,96,96,Invasive breast carcinoma of no special type,human,APA
1547,DataSet_107,human,DDX54,MCF7,FKBP1A,Invasive breast carcinoma of no special type,6,6,6,Invasive breast carcinoma of no special type,human,APA
1542,DataSet_107,human,DDX54,MCF7,ERMP1,Invasive breast carcinoma of no special type,6,90,72,Invasive breast carcinoma of no special type,human,APA
1737,DataSet_107,human,DDX54,MCF7,YPEL1,Invasive breast carcinoma of no special type,6,0,0,Invasive breast carcinoma of no special type,human,APA
159,DataSet_1,human,DDX54,MCF7,SRSF5,Invasive breast carcinoma of no special type,6,24,24,Invasive breast carcinoma of no special type,human,APA
1700,DataSet_107,human,DDX54,MCF7,SRSF5,Invasive breast carcinoma of no special type,6,24,24,Invasive breast carcinoma of no special type,human,APA
1703,DataSet_107,human,DDX54,MCF7,STAT3,Invasive breast carcinoma of no special type,5,105,105,Invasive breast carcinoma of no special type,human,APA
1569,DataSet_107,human,DDX54,MCF7,HNRNPA1,Invasive breast carcinoma of no special type,5,10,10,Invasive breast carcinoma of no special type,human,APA
165,DataSet_1,human,DDX54,MCF7,TCOF1,Invasive breast carcinoma of no special type,5,0,0,Invasive breast carcinoma of no special type,human,APA
1581,DataSet_107,human,DDX54,MCF7,LRRC51,Invasive breast carcinoma of no special type,5,45,45,Invasive breast carcinoma of no special type,human,APA
1494,DataSet_107,human,DDX54,MCF7,CYB561,Invasive breast carcinoma of no special type,4,45,41,Invasive breast carcinoma of no special type,human,APA
1501,DataSet_107,human,DDX54,MCF7,DDX3X,Invasive breast carcinoma of no special type,4,84,80,Invasive breast carcinoma of no special type,human,APA
1602,DataSet_107,human,DDX54,MCF7,MSI2,Invasive breast carcinoma of no special type,4,6,7,Invasive breast carcinoma of no special type,human,APA
87,DataSet_1,human,DDX54,MCF7,GSTZ1,Invasive breast carcinoma of no special type,4,36,36,Invasive breast carcinoma of no special type,human,APA
1562,DataSet_107,human,DDX54,MCF7,HACD3,Invasive breast carcinoma of no special type,4,32,32,Invasive breast carcinoma of no special type,human,APA
1570,DataSet_107,human,DDX54,MCF7,HNRNPC,Invasive breast carcinoma of no special type,4,60,52,Invasive breast carcinoma of no special type,human,APA
1584,DataSet_107,human,DDX54,MCF7,LYRM2,Invasive breast carcinoma of no special type,4,8,8,Invasive breast carcinoma of no special type,human,APA
39,DataSet_1,human,DDX54,MCF7,CYB561,Invasive breast carcinoma of no special type,4,45,41,Invasive breast carcinoma of no special type,human,APA
196,DataSet_1,human,DDX54,MCF7,ZNF706,Invasive breast carcinoma of no special type,4,4,4,Invasive breast carcinoma of no special type,human,APA
101,DataSet_1,human,DDX54,MCF7,LMNA,Invasive breast carcinoma of no special type,4,36,32,Invasive breast carcinoma of no special type,human,APA
1450,DataSet_107,human,DDX54,MCF7,ARHGDIA,Invasive breast carcinoma of no special type,4,30,20,Invasive breast carcinoma of no special type,human,APA
1715,DataSet_107,human,DDX54,MCF7,TMEM126A,Invasive breast carcinoma of no special type,4,12,12,Invasive breast carcinoma of no special type,human,APA
1709,DataSet_107,human,DDX54,MCF7,TBCA,Invasive breast carcinoma of no special type,4,20,20,Invasive breast carcinoma of no special type,human,APA
1619,DataSet_107,human,DDX54,MCF7,NSMCE2,Invasive breast carcinoma of no special type,3,21,6,Invasive breast carcinoma of no special type,human,APA
1684,DataSet_107,human,DDX54,MCF7,SMAP2,Invasive breast carcinoma of no special type,3,12,12,Invasive breast carcinoma of no special type,human,APA
1647,DataSet_107,human,DDX54,MCF7,RAP1B,Invasive breast carcinoma of no special type,3,3,0,Invasive breast carcinoma of no special type,human,APA
1540,DataSet_107,human,DDX54,MCF7,ENSG00000289517,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,APA
91,DataSet_1,human,DDX54,MCF7,HMGN5,Invasive breast carcinoma of no special type,3,15,1,Invasive breast carcinoma of no special type,human,APA
108,DataSet_1,human,DDX54,MCF7,MELTF,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,APA
109,DataSet_1,human,DDX54,MCF7,MELTF-AS1,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,APA
1511,DataSet_107,human,DDX54,MCF7,DPM1,Invasive breast carcinoma of no special type,3,12,12,Invasive breast carcinoma of no special type,human,APA
132,DataSet_1,human,DDX54,MCF7,PRORP,Invasive breast carcinoma of no special type,3,21,18,Invasive breast carcinoma of no special type,human,APA
1510,DataSet_107,human,DDX54,MCF7,DOP1A,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,APA
137,DataSet_1,human,DDX54,MCF7,RBM6,Invasive breast carcinoma of no special type,3,15,15,Invasive breast carcinoma of no special type,human,APA
1658,DataSet_107,human,DDX54,MCF7,RPE,Invasive breast carcinoma of no special type,3,33,30,Invasive breast carcinoma of no special type,human,APA
1669,DataSet_107,human,DDX54,MCF7,SCRN1,Invasive breast carcinoma of no special type,3,15,15,Invasive breast carcinoma of no special type,human,APA
1488,DataSet_107,human,DDX54,MCF7,COX11,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,APA
59,DataSet_1,human,DDX54,MCF7,ENSG00000258790,Invasive breast carcinoma of no special type,3,3,3,Invasive breast carcinoma of no special type,human,APA
174,DataSet_1,human,DDX54,MCF7,TPM3,Invasive breast carcinoma of no special type,3,18,18,Invasive breast carcinoma of no special type,human,APA
1481,DataSet_107,human,DDX54,MCF7,CES2,Invasive breast carcinoma of no special type,3,6,6,Invasive breast carcinoma of no special type,human,APA
1476,DataSet_107,human,DDX54,MCF7,CDH1,Invasive breast carcinoma of no special type,3,6,6,Invasive breast carcinoma of no special type,human,APA
183,DataSet_1,human,DDX54,MCF7,UBE2N,Invasive breast carcinoma of no special type,3,9,9,Invasive breast carcinoma of no special type,human,APA
1472,DataSet_107,human,DDX54,MCF7,CCHCR1,Invasive breast carcinoma of no special type,3,12,12,Invasive breast carcinoma of no special type,human,APA
1720,DataSet_107,human,DDX54,MCF7,TPCN1,Invasive breast carcinoma of no special type,3,12,12,Invasive breast carcinoma of no special type,human,APA
1436,DataSet_107,human,DDX54,MCF7,ADAM17,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,APA
1437,DataSet_107,human,DDX54,MCF7,AIF1L,Invasive breast carcinoma of no special type,3,21,21,Invasive breast carcinoma of no special type,human,APA
1439,DataSet_107,human,DDX54,MCF7,AKIP1,Invasive breast carcinoma of no special type,3,21,18,Invasive breast carcinoma of no special type,human,APA
1440,DataSet_107,human,DDX54,MCF7,ALDH6A1,Invasive breast carcinoma of no special type,3,9,9,Invasive breast carcinoma of no special type,human,APA
1546,DataSet_107,human,DDX54,MCF7,FANCI,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,APA
1563,DataSet_107,human,DDX54,MCF7,HADHB,Invasive breast carcinoma of no special type,3,12,12,Invasive breast carcinoma of no special type,human,APA
1595,DataSet_107,human,DDX54,MCF7,MICA,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,APA
1627,DataSet_107,human,DDX54,MCF7,PDLIM5,Invasive breast carcinoma of no special type,3,18,18,Invasive breast carcinoma of no special type,human,APA
1629,DataSet_107,human,DDX54,MCF7,PGM3,Invasive breast carcinoma of no special type,3,27,24,Invasive breast carcinoma of no special type,human,APA
1571,DataSet_107,human,DDX54,MCF7,IAH1,Invasive breast carcinoma of no special type,3,12,12,Invasive breast carcinoma of no special type,human,APA
1589,DataSet_107,human,DDX54,MCF7,MCFD2,Invasive breast carcinoma of no special type,3,33,30,Invasive breast carcinoma of no special type,human,APA
1610,DataSet_107,human,DDX54,MCF7,NDUFA5,Invasive breast carcinoma of no special type,3,42,42,Invasive breast carcinoma of no special type,human,APA
1580,DataSet_107,human,DDX54,MCF7,LRRC23,Invasive breast carcinoma of no special type,3,12,12,Invasive breast carcinoma of no special type,human,APA
1568,DataSet_107,human,DDX54,MCF7,HMGN5,Invasive breast carcinoma of no special type,3,15,1,Invasive breast carcinoma of no special type,human,APA
25,DataSet_1,human,DDX54,MCF7,CES2,Invasive breast carcinoma of no special type,3,6,6,Invasive breast carcinoma of no special type,human,APA
1633,DataSet_107,human,DDX54,MCF7,POLDIP3,Invasive breast carcinoma of no special type,3,12,12,Invasive breast carcinoma of no special type,human,APA
26,DataSet_1,human,DDX54,MCF7,CHD4,Invasive breast carcinoma of no special type,3,54,54,Invasive breast carcinoma of no special type,human,APA
1575,DataSet_107,human,DDX54,MCF7,KANSL1L,Invasive breast carcinoma of no special type,3,0,0,Invasive breast carcinoma of no special type,human,APA
1592,DataSet_107,human,DDX54,MCF7,MDH1,Invasive breast carcinoma of no special type,2,12,12,Invasive breast carcinoma of no special type,human,APA
1451,DataSet_107,human,DDX54,MCF7,ARHGEF12,Invasive breast carcinoma of no special type,2,6,6,Invasive breast carcinoma of no special type,human,APA
1483,DataSet_107,human,DDX54,MCF7,CIAPIN1,Invasive breast carcinoma of no special type,2,12,12,Invasive breast carcinoma of no special type,human,APA
1591,DataSet_107,human,DDX54,MCF7,MCM4,Invasive breast carcinoma of no special type,2,14,14,Invasive breast carcinoma of no special type,human,APA
1588,DataSet_107,human,DDX54,MCF7,MAT2A,Invasive breast carcinoma of no special type,2,4,2,Invasive breast carcinoma of no special type,human,APA
1484,DataSet_107,human,DDX54,MCF7,CIDEB,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,APA
1600,DataSet_107,human,DDX54,MCF7,MRPL49,Invasive breast carcinoma of no special type,2,6,6,Invasive breast carcinoma of no special type,human,APA
1655,DataSet_107,human,DDX54,MCF7,RN7SK,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,APA
1469,DataSet_107,human,DDX54,MCF7,CCAR1,Invasive breast carcinoma of no special type,2,4,4,Invasive breast carcinoma of no special type,human,APA
1466,DataSet_107,human,DDX54,MCF7,CAMK2B,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,APA
1461,DataSet_107,human,DDX54,MCF7,C18orf21,Invasive breast carcinoma of no special type,2,12,8,Invasive breast carcinoma of no special type,human,APA
1605,DataSet_107,human,DDX54,MCF7,NAA50,Invasive breast carcinoma of no special type,2,14,14,Invasive breast carcinoma of no special type,human,APA
1458,DataSet_107,human,DDX54,MCF7,C11orf16,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,APA
1606,DataSet_107,human,DDX54,MCF7,NAP1L1,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,APA
1612,DataSet_107,human,DDX54,MCF7,NEAT1,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,APA
1614,DataSet_107,human,DDX54,MCF7,NIPAL2,Invasive breast carcinoma of no special type,2,4,4,Invasive breast carcinoma of no special type,human,APA
1457,DataSet_107,human,DDX54,MCF7,BLOC1S5-TXNDC5,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,APA
1583,DataSet_107,human,DDX54,MCF7,LYAR,Invasive breast carcinoma of no special type,2,4,4,Invasive breast carcinoma of no special type,human,APA
1509,DataSet_107,human,DDX54,MCF7,DNAJC5,Invasive breast carcinoma of no special type,2,2,2,Invasive breast carcinoma of no special type,human,APA
1503,DataSet_107,human,DDX54,MCF7,DDX55,Invasive breast carcinoma of no special type,2,6,6,Invasive breast carcinoma of no special type,human,APA
1532,DataSet_107,human,DDX54,MCF7,ENSG00000277599,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,APA
1557,DataSet_107,human,DDX54,MCF7,GSE1,Invasive breast carcinoma of no special type,2,10,10,Invasive breast carcinoma of no special type,human,APA
1567,DataSet_107,human,DDX54,MCF7,HMGB1,Invasive breast carcinoma of no special type,2,8,8,Invasive breast carcinoma of no special type,human,APA
1552,DataSet_107,human,DDX54,MCF7,GINS2,Invasive breast carcinoma of no special type,2,0,0,Invasive breast carcinoma of no special type,human,APA
