Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
41,DataSet_108,human,AFF1,HCT116,AFF1,Colon adenocarcinoma,4,0,0,Colon adenocarcinoma,human,AS
51,DataSet_108,human,AFF1,HCT116,CCDC14,Colon adenocarcinoma,3,3,0,Colon adenocarcinoma,human,AS
156,DataSet_108,human,AFF1,HCT116,SPSB3,Colon adenocarcinoma,3,3,0,Colon adenocarcinoma,human,AS
68,DataSet_108,human,AFF1,HCT116,EME2,Colon adenocarcinoma,3,0,0,Colon adenocarcinoma,human,AS
163,DataSet_108,human,AFF1,HCT116,TBCD,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
82,DataSet_108,human,AFF1,HCT116,FAM111A,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
57,DataSet_108,human,AFF1,HCT116,COMMD4,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
119,DataSet_108,human,AFF1,HCT116,P3H3,Colon adenocarcinoma,2,1,0,Colon adenocarcinoma,human,AS
86,DataSet_108,human,AFF1,HCT116,FUBP1,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
49,DataSet_108,human,AFF1,HCT116,BUD23,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
116,DataSet_108,human,AFF1,HCT116,NR4A1,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
45,DataSet_108,human,AFF1,HCT116,ARHGAP4,Colon adenocarcinoma,2,1,0,Colon adenocarcinoma,human,AS
135,DataSet_108,human,AFF1,HCT116,RFT1,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
122,DataSet_108,human,AFF1,HCT116,PER1,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
53,DataSet_108,human,AFF1,HCT116,CD44,Colon adenocarcinoma,15,0,0,Colon adenocarcinoma,human,AS
106,DataSet_108,human,AFF1,HCT116,LRFN4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
109,DataSet_108,human,AFF1,HCT116,MED1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
110,DataSet_108,human,AFF1,HCT116,MIR4674,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
108,DataSet_108,human,AFF1,HCT116,MAGEA2,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
107,DataSet_108,human,AFF1,HCT116,LUC7L3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
111,DataSet_108,human,AFF1,HCT116,MTERF2,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
102,DataSet_108,human,AFF1,HCT116,KHNYN,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
105,DataSet_108,human,AFF1,HCT116,LINC00623,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
104,DataSet_108,human,AFF1,HCT116,LGALS8,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
103,DataSet_108,human,AFF1,HCT116,KIFC2,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
113,DataSet_108,human,AFF1,HCT116,NALT1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
101,DataSet_108,human,AFF1,HCT116,ITIH4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
100,DataSet_108,human,AFF1,HCT116,IRF9,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
99,DataSet_108,human,AFF1,HCT116,IQANK1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
98,DataSet_108,human,AFF1,HCT116,INO80B-WBP1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
97,DataSet_108,human,AFF1,HCT116,IKBKB,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
96,DataSet_108,human,AFF1,HCT116,HNRNPDL,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
112,DataSet_108,human,AFF1,HCT116,NAA10,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
118,DataSet_108,human,AFF1,HCT116,ORMDL1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
114,DataSet_108,human,AFF1,HCT116,NBPF8,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
115,DataSet_108,human,AFF1,HCT116,NOP56,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
136,DataSet_108,human,AFF1,HCT116,RHBDD3,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
134,DataSet_108,human,AFF1,HCT116,RBM8A,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
133,DataSet_108,human,AFF1,HCT116,RBM28,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
132,DataSet_108,human,AFF1,HCT116,RACK1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
131,DataSet_108,human,AFF1,HCT116,R3HDM4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
130,DataSet_108,human,AFF1,HCT116,PRPF39,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
129,DataSet_108,human,AFF1,HCT116,PRKD2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
128,DataSet_108,human,AFF1,HCT116,PPCS,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
127,DataSet_108,human,AFF1,HCT116,POLD4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
126,DataSet_108,human,AFF1,HCT116,PMS1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
125,DataSet_108,human,AFF1,HCT116,PIP4P1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
124,DataSet_108,human,AFF1,HCT116,PIDD1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
123,DataSet_108,human,AFF1,HCT116,PHPT1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
121,DataSet_108,human,AFF1,HCT116,PAN2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
120,DataSet_108,human,AFF1,HCT116,PABPC4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
94,DataSet_108,human,AFF1,HCT116,HERPUD2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
117,DataSet_108,human,AFF1,HCT116,NUBP2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
95,DataSet_108,human,AFF1,HCT116,HEXD,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
39,DataSet_108,human,AFF1,HCT116,ABCC3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
93,DataSet_108,human,AFF1,HCT116,HERC2P2,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
67,DataSet_108,human,AFF1,HCT116,ECI1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
65,DataSet_108,human,AFF1,HCT116,DNAAF3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
64,DataSet_108,human,AFF1,HCT116,DMKN,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
63,DataSet_108,human,AFF1,HCT116,DELE1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
62,DataSet_108,human,AFF1,HCT116,CYHR1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
61,DataSet_108,human,AFF1,HCT116,CTC-338M12.4,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
60,DataSet_108,human,AFF1,HCT116,CREBZF,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
59,DataSet_108,human,AFF1,HCT116,CRACR2B,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
58,DataSet_108,human,AFF1,HCT116,CPNE7,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
56,DataSet_108,human,AFF1,HCT116,CIAO3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
55,DataSet_108,human,AFF1,HCT116,CDH24,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
54,DataSet_108,human,AFF1,HCT116,CDCA3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
52,DataSet_108,human,AFF1,HCT116,CCDC78,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
50,DataSet_108,human,AFF1,HCT116,CBARP,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
48,DataSet_108,human,AFF1,HCT116,B4GALNT4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
47,DataSet_108,human,AFF1,HCT116,ARMCX3-AS1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
46,DataSet_108,human,AFF1,HCT116,ARMCX3,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
44,DataSet_108,human,AFF1,HCT116,ANTKMT,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
43,DataSet_108,human,AFF1,HCT116,ALKBH6,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
42,DataSet_108,human,AFF1,HCT116,AGRN,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
66,DataSet_108,human,AFF1,HCT116,E2F4,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
69,DataSet_108,human,AFF1,HCT116,ENSG00000230149,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
92,DataSet_108,human,AFF1,HCT116,HAGHL,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
70,DataSet_108,human,AFF1,HCT116,ENSG00000237015,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
91,DataSet_108,human,AFF1,HCT116,GTPBP1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
90,DataSet_108,human,AFF1,HCT116,GOLGA1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
40,DataSet_108,human,AFF1,HCT116,ACSS2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
88,DataSet_108,human,AFF1,HCT116,GLYR1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
87,DataSet_108,human,AFF1,HCT116,GALE,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
85,DataSet_108,human,AFF1,HCT116,FRMD5,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
84,DataSet_108,human,AFF1,HCT116,FNBP1L,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
83,DataSet_108,human,AFF1,HCT116,FANCA,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
81,DataSet_108,human,AFF1,HCT116,ENSG00000289565,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
80,DataSet_108,human,AFF1,HCT116,ENSG00000288644,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
79,DataSet_108,human,AFF1,HCT116,ENSG00000267120,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
78,DataSet_108,human,AFF1,HCT116,ENSG00000266469,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
77,DataSet_108,human,AFF1,HCT116,ENSG00000266086,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
76,DataSet_108,human,AFF1,HCT116,ENSG00000259529,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
75,DataSet_108,human,AFF1,HCT116,ENSG00000256514,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
74,DataSet_108,human,AFF1,HCT116,ENSG00000254578,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
73,DataSet_108,human,AFF1,HCT116,ENSG00000248101,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
72,DataSet_108,human,AFF1,HCT116,ENSG00000244491,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
71,DataSet_108,human,AFF1,HCT116,ENSG00000243696,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
89,DataSet_108,human,AFF1,HCT116,GNB3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
630,DataSet_119,human,AFF4,HCT116,FKBP10,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
646,DataSet_119,human,AFF4,HCT116,MID1,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
670,DataSet_119,human,AFF4,HCT116,ZNF559-ZNF177,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
669,DataSet_119,human,AFF4,HCT116,ZNF559,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
623,DataSet_119,human,AFF4,HCT116,ENSG00000262879,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
635,DataSet_119,human,AFF4,HCT116,HDAC10,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
641,DataSet_119,human,AFF4,HCT116,KREMEN2,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
644,DataSet_119,human,AFF4,HCT116,MAPK12,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
657,DataSet_119,human,AFF4,HCT116,SLC37A4,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
629,DataSet_119,human,AFF4,HCT116,EXOSC9,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
649,DataSet_119,human,AFF4,HCT116,PGGHG,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
648,DataSet_119,human,AFF4,HCT116,MSLN,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
647,DataSet_119,human,AFF4,HCT116,MRPL35,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
600,DataSet_119,human,AFF4,HCT116,ABCC5,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
645,DataSet_119,human,AFF4,HCT116,MICAL1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
651,DataSet_119,human,AFF4,HCT116,PKMYT1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
643,DataSet_119,human,AFF4,HCT116,LAMB2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
642,DataSet_119,human,AFF4,HCT116,KRTCAP3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
640,DataSet_119,human,AFF4,HCT116,ISYNA1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
650,DataSet_119,human,AFF4,HCT116,PHYKPL,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
653,DataSet_119,human,AFF4,HCT116,PRR22,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
652,DataSet_119,human,AFF4,HCT116,PRPF39,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
662,DataSet_119,human,AFF4,HCT116,TMUB2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
668,DataSet_119,human,AFF4,HCT116,ZNF226,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
667,DataSet_119,human,AFF4,HCT116,ZMIZ2,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
666,DataSet_119,human,AFF4,HCT116,WASH2P,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
665,DataSet_119,human,AFF4,HCT116,VMP1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
664,DataSet_119,human,AFF4,HCT116,ULK3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
663,DataSet_119,human,AFF4,HCT116,U2AF1L4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
661,DataSet_119,human,AFF4,HCT116,TEDC1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
638,DataSet_119,human,AFF4,HCT116,IP6K2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
660,DataSet_119,human,AFF4,HCT116,TAF6L,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
659,DataSet_119,human,AFF4,HCT116,SUGP2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
658,DataSet_119,human,AFF4,HCT116,SSNA1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
656,DataSet_119,human,AFF4,HCT116,SLC17A9,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
655,DataSet_119,human,AFF4,HCT116,ROBO3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
654,DataSet_119,human,AFF4,HCT116,RER1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
639,DataSet_119,human,AFF4,HCT116,IRF3,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
636,DataSet_119,human,AFF4,HCT116,HES4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
637,DataSet_119,human,AFF4,HCT116,HNRNPLL,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
616,DataSet_119,human,AFF4,HCT116,DFFA,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
602,DataSet_119,human,AFF4,HCT116,AMBRA1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
603,DataSet_119,human,AFF4,HCT116,AZIN2,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
604,DataSet_119,human,AFF4,HCT116,BCL2L12,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
605,DataSet_119,human,AFF4,HCT116,CCNA2,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
606,DataSet_119,human,AFF4,HCT116,CCNL1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
607,DataSet_119,human,AFF4,HCT116,CDK5RAP3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
608,DataSet_119,human,AFF4,HCT116,CLDND1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
609,DataSet_119,human,AFF4,HCT116,CLK1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
610,DataSet_119,human,AFF4,HCT116,CLSTN1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
611,DataSet_119,human,AFF4,HCT116,COMMD4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
612,DataSet_119,human,AFF4,HCT116,CPNE7,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
613,DataSet_119,human,AFF4,HCT116,CSNK1E,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
614,DataSet_119,human,AFF4,HCT116,DCAF8,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
615,DataSet_119,human,AFF4,HCT116,DDX60L,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
617,DataSet_119,human,AFF4,HCT116,DNAJB12,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
601,DataSet_119,human,AFF4,HCT116,AKAP8L,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
618,DataSet_119,human,AFF4,HCT116,EEF1B2,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
619,DataSet_119,human,AFF4,HCT116,ENSG00000203469,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
620,DataSet_119,human,AFF4,HCT116,ENSG00000228606,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
621,DataSet_119,human,AFF4,HCT116,ENSG00000248839,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
622,DataSet_119,human,AFF4,HCT116,ENSG00000257341,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
624,DataSet_119,human,AFF4,HCT116,ENSG00000263798,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
625,DataSet_119,human,AFF4,HCT116,ENSG00000267120,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
626,DataSet_119,human,AFF4,HCT116,ENSG00000267157,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
627,DataSet_119,human,AFF4,HCT116,ENSG00000279716,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
628,DataSet_119,human,AFF4,HCT116,ENTR1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
631,DataSet_119,human,AFF4,HCT116,FN1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
632,DataSet_119,human,AFF4,HCT116,GAS5,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
633,DataSet_119,human,AFF4,HCT116,GAS5-AS1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
634,DataSet_119,human,AFF4,HCT116,GATD1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
671,DataSet_119,human,AFF4,HCT116,ZNF587,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25651,DataSet_44,human,AGO1,HCT116,AP1G2,Colon adenocarcinoma,3,3,0,Colon adenocarcinoma,human,AS
25687,DataSet_44,human,AGO1,HCT116,FKBP10,Colon adenocarcinoma,3,2,0,Colon adenocarcinoma,human,AS
25752,DataSet_44,human,AGO1,HCT116,WDR83,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
25742,DataSet_44,human,AGO1,HCT116,TAF1D,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
25725,DataSet_44,human,AGO1,HCT116,SLC12A9,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
25684,DataSet_44,human,AGO1,HCT116,ENSG00000285583,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
25685,DataSet_44,human,AGO1,HCT116,ENSG00000285589,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
25731,DataSet_44,human,AGO1,HCT116,SNORA8,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
25732,DataSet_44,human,AGO1,HCT116,SNORD5,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
25669,DataSet_44,human,AGO1,HCT116,DCTN6,Colon adenocarcinoma,2,1,0,Colon adenocarcinoma,human,AS
25681,DataSet_44,human,AGO1,HCT116,ENSG00000263798,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
25652,DataSet_44,human,AGO1,HCT116,AP1G2-AS1,Colon adenocarcinoma,2,0,0,Colon adenocarcinoma,human,AS
25701,DataSet_44,human,AGO1,HCT116,LRP8,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
25706,DataSet_44,human,AGO1,HCT116,NBEAL2,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
25658,DataSet_44,human,AGO1,HCT116,CDK5RAP3,Colon adenocarcinoma,2,2,0,Colon adenocarcinoma,human,AS
25710,DataSet_44,human,AGO1,HCT116,PALLD,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25708,DataSet_44,human,AGO1,HCT116,NT5C3B,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25721,DataSet_44,human,AGO1,HCT116,RTEL1-TNFRSF6B,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25720,DataSet_44,human,AGO1,HCT116,RTEL1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25719,DataSet_44,human,AGO1,HCT116,RNA5SP187,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25707,DataSet_44,human,AGO1,HCT116,NR4A1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25709,DataSet_44,human,AGO1,HCT116,OGA,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25711,DataSet_44,human,AGO1,HCT116,PELP1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25718,DataSet_44,human,AGO1,HCT116,RBPJ,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25717,DataSet_44,human,AGO1,HCT116,RAB30-DT,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25716,DataSet_44,human,AGO1,HCT116,R3HDM4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25715,DataSet_44,human,AGO1,HCT116,QTRT1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25722,DataSet_44,human,AGO1,HCT116,RUSC1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25713,DataSet_44,human,AGO1,HCT116,PLEKHG4,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25712,DataSet_44,human,AGO1,HCT116,PER1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25714,DataSet_44,human,AGO1,HCT116,PRPS1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25726,DataSet_44,human,AGO1,HCT116,SLC4A3,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25723,DataSet_44,human,AGO1,HCT116,SF3B1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25724,DataSet_44,human,AGO1,HCT116,SIK1B,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25747,DataSet_44,human,AGO1,HCT116,TRIM52-AS1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25746,DataSet_44,human,AGO1,HCT116,TPTEP2-CSNK1E,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25745,DataSet_44,human,AGO1,HCT116,TMEM161B-DT,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25744,DataSet_44,human,AGO1,HCT116,TMEM161B,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25743,DataSet_44,human,AGO1,HCT116,TEAD1,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25741,DataSet_44,human,AGO1,HCT116,STAT6,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25740,DataSet_44,human,AGO1,HCT116,SSR4,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25739,DataSet_44,human,AGO1,HCT116,SRSF7,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25738,DataSet_44,human,AGO1,HCT116,SRSF1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25737,DataSet_44,human,AGO1,HCT116,SREBF1,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25736,DataSet_44,human,AGO1,HCT116,SPOP,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
25735,DataSet_44,human,AGO1,HCT116,SPG7,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25734,DataSet_44,human,AGO1,HCT116,SPAG9,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25733,DataSet_44,human,AGO1,HCT116,SNX11,Colon adenocarcinoma,1,1,0,Colon adenocarcinoma,human,AS
25730,DataSet_44,human,AGO1,HCT116,SNORA18,Colon adenocarcinoma,1,0,0,Colon adenocarcinoma,human,AS
